,user,text,favorite_count,retweet_count,created_at
68,elonmusk,@krispykreme My feed has correctly guessed that I like yummy snacks,1931,89,2023-04-22 03:59:10+00:00
69,elonmusk,@pizzahut lol … nice bio btw,2598,123,2023-04-22 03:52:01+00:00
70,elonmusk,@stevenmarkryan Being a Mom is a real job that deserves major respect,174160,17167,2023-04-22 03:49:47+00:00
71,elonmusk,"@DavidSacks Everyone pays the same price for a Tesla, including me. Same goes for new Twitter.",57715,3918,2023-04-22 02:58:10+00:00
72,elonmusk,@BillyM2k @seanonolennon 🎯,6104,310,2023-04-22 02:52:15+00:00
73,elonmusk,@Resist_05 🔥,23177,997,2023-04-22 02:49:37+00:00
74,elonmusk,@cb_doge 🤣🎯,5035,265,2023-04-22 02:46:48+00:00
75,elonmusk,"@krassenstein Agreed, almost all of this is in work. There will be some mistakes along the way, but we will fix them fast.",4306,307,2023-04-22 02:46:21+00:00
76,elonmusk,@tunguz Rust,10282,688,2023-04-22 02:40:02+00:00
77,elonmusk,@BasedHypnotist 🪦,6663,245,2023-04-22 02:33:08+00:00
78,elonmusk,@DisneyMusic @starwars @DisneyPlus Bad Batch is great,2298,294,2023-04-22 02:32:11+00:00
79,elonmusk,@farzyness 🤣,3750,165,2023-04-22 02:26:06+00:00
80,elonmusk,@Erdayastronaut @SpaceX @considercosmos Great shot!,13188,595,2023-04-22 02:21:43+00:00
81,elonmusk,@SmokeAwayyy @SpaceX Exactly,4889,274,2023-04-22 02:16:46+00:00
82,elonmusk,Starship liftoff in slow motion https://t.co/KqHjqwP88Z,319267,30411,2023-04-22 01:02:10+00:00
83,elonmusk,@Rainmaker1973 Deep time is disturbing,5053,307,2023-04-21 23:47:48+00:00
84,elonmusk,@Rainmaker1973 But super obvious in infrared,22388,619,2023-04-21 23:45:33+00:00
85,elonmusk,@mezaoptimizer You correctly highlight the absurdity,2664,195,2023-04-21 23:43:06+00:00
86,elonmusk,@unusual_whales Lithium ore is very common throughout Earth. What matters is refining capacity.,19791,2954,2023-04-21 23:42:16+00:00
87,elonmusk,@WallStreetSilv The caffeine one is most concerning! Like … how much caffeine did that spider get!?,29380,1284,2023-04-21 23:39:23+00:00
88,elonmusk,@EdKrassen @FormerNewspaper Ok,1026,64,2023-04-21 23:37:23+00:00
89,elonmusk,@RubinReport 🤣,6783,309,2023-04-21 23:29:49+00:00
90,elonmusk,@WallStreetSilv Wow,10823,393,2023-04-21 23:17:50+00:00
91,elonmusk,@GRDecter !,3208,166,2023-04-21 23:11:04+00:00
92,elonmusk,@EvaFoxU 😂,2519,130,2023-04-21 23:10:54+00:00
93,elonmusk,"@nicksortor At this point, I’m quite curious about the manifesto!",56158,5410,2023-04-21 22:56:06+00:00
94,elonmusk,@kylenabecker ?,18126,880,2023-04-21 22:53:57+00:00
95,elonmusk,"@EdKrassen I certainly agree that this requires a nuanced evaluation of all the facts, but please stop with the Russian bogeyman",26125,2026,2023-04-21 22:44:31+00:00
96,elonmusk,@ggreenwald Next-level irony!,9199,732,2023-04-21 22:28:48+00:00
97,elonmusk,"@PeterDiamandis Hear, hear!!",3007,181,2023-04-21 22:27:15+00:00
