,user,text,favorite_count,retweet_count,created_at
25,elonmusk,@GailAlfarATX @SpaceX @cnunezimages I subscribed!,3400,144,2023-04-23 05:35:05+00:00
26,elonmusk,@GailAlfarATX @SpaceX @cnunezimages Great citizen journalism!,5098,229,2023-04-23 05:34:06+00:00
27,elonmusk,"@StephenKing I’ve donated $100M to Ukraine, how much have you donated?

(We turned down the DoD money btw) https://t.co/wpLa6dTnP6",182229,13525,2023-04-23 05:29:29+00:00
28,elonmusk,@unhealthytruth Good points,8792,698,2023-04-23 04:58:35+00:00
29,elonmusk,@AiBreakfast 💯,2721,189,2023-04-23 03:58:15+00:00
30,elonmusk,https://t.co/PubSW9oJ5E,257476,15701,2023-04-23 03:30:43+00:00
31,elonmusk,@TheRabbitHole84 True,7297,424,2023-04-23 02:38:48+00:00
32,elonmusk,"@farzyness There have been several extended periods of flatness, followed by rapid rises to new plateaus",7268,525,2023-04-23 02:38:09+00:00
33,elonmusk,@jnsfrd Amazing,2278,136,2023-04-23 02:32:48+00:00
34,elonmusk,@krassenstein !,1665,121,2023-04-23 02:22:59+00:00
35,elonmusk,@WallStreetSilv Incentives matter,10631,729,2023-04-23 02:08:31+00:00
36,elonmusk,@Scobleizer Allergies,4645,198,2023-04-23 02:01:44+00:00
37,elonmusk,@Healthyfairy86 @unusual_whales Certainly should be same for all,13810,295,2023-04-23 00:57:10+00:00
38,elonmusk,@paulkrugman https://t.co/31P6jAVP2C,182045,8525,2023-04-23 00:55:27+00:00
39,elonmusk,@RandleDog @catturd2 @CommunityNotes 🤣,1866,80,2023-04-23 00:54:11+00:00
40,elonmusk,@Rainmaker1973 Mud camouflage lol https://t.co/rNRnrR1xCg,1963,129,2023-04-23 00:53:17+00:00
41,elonmusk,@unusual_whales Is all this just about raising the pension age from 62 to 64 or is there more to it?,86220,5813,2023-04-22 23:41:41+00:00
42,elonmusk,@Fathers_Writes Malaria did it for me,41728,1086,2023-04-22 23:35:42+00:00
43,elonmusk,The least bad solution to the AGI control problem that I can think of is to give every verified human a vote,83112,6867,2023-04-22 23:35:01+00:00
44,elonmusk,"@TitterDaily A troll, me?? 🤣",16157,989,2023-04-22 22:19:33+00:00
45,elonmusk,@UpdatingOnRome 🪦,2153,103,2023-04-22 22:16:35+00:00
46,elonmusk,https://t.co/8iNKfSwC4y,543947,49947,2023-04-22 21:48:37+00:00
47,elonmusk,@unusual_whales Not exactly neutral,13802,926,2023-04-22 21:34:25+00:00
48,elonmusk,@charliesheen You’re welcome!,43461,1241,2023-04-22 21:13:17+00:00
49,elonmusk,What makes @CommunityNotes so powerful is that people with different points of view have to agree that a note is correct for it to be shown,97435,8134,2023-04-22 21:12:41+00:00
50,elonmusk,@TrungTPhan So many Zoolander memes 😂,1925,88,2023-04-22 21:04:14+00:00
51,elonmusk,@TrungTPhan https://t.co/sYvCLNrarU,7346,364,2023-04-22 21:03:24+00:00
52,elonmusk,@TimSweeneyEpic 🔥🔥,3694,192,2023-04-22 20:03:38+00:00
53,elonmusk,check mate,297790,22825,2023-04-22 19:18:47+00:00
54,elonmusk,@EdKrassen Do you write in defense of the truth?,8991,742,2023-04-22 19:09:19+00:00
55,elonmusk,"@EzerRatchaga Starship is super insane, but such a system is the only way for us to become a multiplanet civilization",29587,2626,2023-04-22 18:58:07+00:00
56,elonmusk,@RBReich I will pay for your blue check – my gift to you 💕,3773,203,2023-04-22 18:55:31+00:00
57,elonmusk,@cb_doge @nytimes 🤣🤣,8343,383,2023-04-22 18:32:18+00:00
58,elonmusk,@TimSweeneyEpic 🎯,2006,113,2023-04-22 18:30:59+00:00
59,elonmusk,@rpoo Well said,2695,155,2023-04-22 18:30:07+00:00
60,elonmusk,@RBReich Have you considered a career in comedy?,6137,400,2023-04-22 18:26:33+00:00
61,elonmusk,"@SciGuySpace Still early in analysis, but the force of the engines when they throttled up may have shattered the concrete, rather than simply eroding it. The engines were only at half thrust for the static fire test.",7181,591,2023-04-22 15:42:04+00:00
62,elonmusk,@stats_feed @paulg Demographics is destiny,25621,2760,2023-04-22 15:36:36+00:00
63,elonmusk,"@krassenstein @EdKrassen Anointed nobility is anathema

Quality of content counts",7569,558,2023-04-22 15:24:36+00:00
64,elonmusk,@TimSweeneyEpic Exactly,1697,94,2023-04-22 15:14:48+00:00
65,elonmusk,@wallstmemes @greg16676935420 🤣,1938,78,2023-04-22 14:38:10+00:00
66,elonmusk,@charliesheen I feel your pain,119503,4720,2023-04-22 04:34:16+00:00
67,elonmusk,@carlabitcoin Beautiful,19455,1026,2023-04-22 04:32:04+00:00
68,elonmusk,@ShitpostGate 🤣,3566,140,2023-04-22 03:59:41+00:00
69,elonmusk,@krispykreme My feed has correctly guessed that I like yummy snacks,1931,89,2023-04-22 03:59:10+00:00
70,elonmusk,@pizzahut lol … nice bio btw,2598,123,2023-04-22 03:52:01+00:00
71,elonmusk,@stevenmarkryan Being a Mom is a real job that deserves major respect,174191,17167,2023-04-22 03:49:47+00:00
72,elonmusk,"@DavidSacks Everyone pays the same price for a Tesla, including me. Same goes for new Twitter.",57718,3918,2023-04-22 02:58:10+00:00
73,elonmusk,@BillyM2k @seanonolennon 🎯,6104,310,2023-04-22 02:52:15+00:00
74,elonmusk,@Resist_05 🔥,23179,997,2023-04-22 02:49:37+00:00
75,elonmusk,@cb_doge 🤣🎯,5035,265,2023-04-22 02:46:48+00:00
76,elonmusk,"@krassenstein Agreed, almost all of this is in work. There will be some mistakes along the way, but we will fix them fast.",4306,307,2023-04-22 02:46:21+00:00
77,elonmusk,@tunguz Rust,10282,688,2023-04-22 02:40:02+00:00
78,elonmusk,@BasedHypnotist 🪦,6664,245,2023-04-22 02:33:08+00:00
79,elonmusk,@DisneyMusic @starwars @DisneyPlus Bad Batch is great,2297,294,2023-04-22 02:32:11+00:00
80,elonmusk,@farzyness 🤣,3750,165,2023-04-22 02:26:06+00:00
81,elonmusk,@Erdayastronaut @SpaceX @considercosmos Great shot!,13188,595,2023-04-22 02:21:43+00:00
82,elonmusk,@SmokeAwayyy @SpaceX Exactly,4889,274,2023-04-22 02:16:46+00:00
83,elonmusk,Starship liftoff in slow motion https://t.co/KqHjqwP88Z,319314,30418,2023-04-22 01:02:10+00:00
84,elonmusk,@Rainmaker1973 Deep time is disturbing,5052,307,2023-04-21 23:47:48+00:00
85,elonmusk,@Rainmaker1973 But super obvious in infrared,22389,619,2023-04-21 23:45:33+00:00
86,elonmusk,@mezaoptimizer You correctly highlight the absurdity,2664,195,2023-04-21 23:43:06+00:00
87,elonmusk,@unusual_whales Lithium ore is very common throughout Earth. What matters is refining capacity.,19793,2954,2023-04-21 23:42:16+00:00
88,elonmusk,@WallStreetSilv The caffeine one is most concerning! Like … how much caffeine did that spider get!?,29380,1284,2023-04-21 23:39:23+00:00
89,elonmusk,@EdKrassen @FormerNewspaper Ok,1026,64,2023-04-21 23:37:23+00:00
90,elonmusk,@RubinReport 🤣,6783,309,2023-04-21 23:29:49+00:00
91,elonmusk,@WallStreetSilv Wow,10823,393,2023-04-21 23:17:50+00:00
92,elonmusk,@GRDecter !,3208,166,2023-04-21 23:11:04+00:00
93,elonmusk,@EvaFoxU 😂,2519,130,2023-04-21 23:10:54+00:00
94,elonmusk,"@nicksortor At this point, I’m quite curious about the manifesto!",56159,5410,2023-04-21 22:56:06+00:00
95,elonmusk,@kylenabecker ?,18126,880,2023-04-21 22:53:57+00:00
96,elonmusk,"@EdKrassen I certainly agree that this requires a nuanced evaluation of all the facts, but please stop with the Russian bogeyman",26125,2026,2023-04-21 22:44:31+00:00
97,elonmusk,@ggreenwald Next-level irony!,9200,732,2023-04-21 22:28:48+00:00
98,elonmusk,"@PeterDiamandis Hear, hear!!",3007,181,2023-04-21 22:27:15+00:00
99,elonmusk,@dogeofficialceo 🤣,2506,128,2023-04-21 22:26:33+00:00
100,elonmusk,@DavidSacks There needs to be some accountability here!,124109,16491,2023-04-21 22:19:20+00:00
101,elonmusk,@shellenberger @GavinNewsom Wow,5751,334,2023-04-21 22:17:41+00:00
102,elonmusk,"@RGVaerialphotos All that’s left of the concrete lateral support beam is the rebar! Hopefully, this didn’t gronk the launch mount.",10998,589,2023-04-21 22:16:41+00:00
103,elonmusk,@0xfoobar !,4151,371,2023-04-21 22:14:53+00:00
104,elonmusk,@wintonARK Interesting thread,3761,255,2023-04-21 21:35:58+00:00
105,elonmusk,"@SciGuySpace 3 months ago, we started building a massive water-cooled, steel plate to go under the launch mount. 

Wasn’t ready in time &amp; we wrongly thought, based on static fire data, that Fondag would make it through 1 launch.

Looks like we can be ready to launch again in 1 to 2 months.",50690,3963,2023-04-21 21:22:19+00:00
106,elonmusk,@EdKrassen 🤣🤣 It’s a real thing,10101,416,2023-04-21 16:17:22+00:00
107,elonmusk,@EdKrassen We’ve started a “save-a-celebrity fund” to pay their $8. We take this matter very seriously.,225439,17700,2023-04-21 16:03:45+00:00
108,elonmusk,@paulg I’ll pay for yours,29728,1328,2023-04-21 15:59:53+00:00
109,elonmusk,@alx What say you @SecBlinken?,35791,7580,2023-04-21 15:29:25+00:00
110,elonmusk,@shellenberger @briebriejoy @robbysoave They got caught,44019,4178,2023-04-21 15:27:21+00:00
111,elonmusk,@DavidSacks Exactly,12691,708,2023-04-21 15:26:23+00:00
112,elonmusk,@dom_lucre Good US history thread,15764,1583,2023-04-21 11:22:13+00:00
113,elonmusk,@Not_the_Bee It sucked,54670,1906,2023-04-21 04:26:26+00:00
114,elonmusk,@alifarhat79 @alx Couldn’t sleep last night because of Starship launch,6199,277,2023-04-21 04:25:44+00:00
115,elonmusk,@alifarhat79 @alx Have to sleep,4855,193,2023-04-21 04:18:25+00:00
116,elonmusk,@alx Maybe he’d like some 🧀 with his 🍷,19596,1209,2023-04-21 04:15:46+00:00
117,elonmusk,@BenStiller 🤣,12694,399,2023-04-21 04:12:51+00:00
118,elonmusk,"Great song 
https://t.co/TpFcobGrch",60405,5256,2023-04-21 03:49:33+00:00
119,elonmusk,@LibertyCappy Such a strange dichotomy …,47723,2064,2023-04-21 03:46:41+00:00
120,elonmusk,Such a great day in so many ways,343914,23433,2023-04-21 03:36:45+00:00
121,elonmusk,@BillyM2k Lmaoooo,6196,391,2023-04-21 02:50:49+00:00
122,elonmusk,@alx Same,9061,387,2023-04-21 01:06:38+00:00
123,elonmusk,"@RampCapitalLLC Hear, hear!",8480,421,2023-04-21 01:04:19+00:00
124,elonmusk,@nicksortor @nypost !!,4198,358,2023-04-21 01:03:21+00:00
125,elonmusk,@KimDotcom lol,58021,2114,2023-04-21 01:02:12+00:00
126,elonmusk,@wrong_speak They’ll survive … somehow …,52182,2446,2023-04-21 01:01:24+00:00
127,elonmusk,@DrJBhattacharya Fate hates hypocrisy,8177,665,2023-04-21 00:42:02+00:00
128,elonmusk,"@PopBase Just Shatner, LeBron and King",161609,6880,2023-04-21 00:39:55+00:00
129,elonmusk,@Jason As they should,4263,282,2023-04-20 22:51:45+00:00
